u,v,length
239990446,5179288741,61.509
239990446,984968781,50.913
239990447,239990448,17.187
239990447,5179288734,6.996
239990448,239990447,17.187
239990448,984968781,63.662
239990448,5012882374,18.764000000000003
239990457,9231274093,33.727000000000004
239990457,6572644366,38.6
239990812,1029692771,25.821
239990812,2496629720,41.571
239991573,8442857151,38.109
239991573,290057730,109.103
239994475,316738576,95.178
239994475,2694745278,108.831
239994496,317355979,247.209
239994496,317355749,439.49799999999993
239994930,597656542,58.762
239994930,295886864,127.458
239994932,597656354,109.296
240004295,316914755,24.991
241833128,288171749,77.184
241833128,288170875,66.857
243845374,3920060241,21.925
243845374,4475207931,73.551
243845374,274241647,343.7870000000001
243846384,988059562,19.851
243846384,988059472,48.940999999999995
245088364,245088365,17.252
245088364,984409351,58.797
245088365,527734527,27.509
245088365,6233488023,29.130999999999997
245088404,525456795,63.649
245088404,281722642,82.901
245088408,1613294341,88.392
249968569,2556775251,150.29100000000003
249968570,597662979,10.408
249968570,8449585181,50.525000000000006
249968572,597662940,189.719
249968572,292205330,203.008
249968862,271053083,69.428
249968862,289839472,114.64100000000002
251083363,1033405530,34.135
251083363,6236481404,186.478
251083380,452816167,77.265
251083380,1615603715,42.263
252187666,1684278527,70.02699999999999
252187666,522282969,274.554
252187666,522282973,58.991
252188095,1078809478,476.096
252188095,1683191723,73.83200000000001
252188095,1082508605,83.746
252188109,1683191667,323.66700000000003
252188109,1683191758,206.04500000000002
252188109,8875077770,522.625
253287504,1921958812,160.236
253287504,577543136,115.79100000000001
253287504,1922000260,193.35000000000002
253287703,1444685747,234.964
253287703,253313951,43.968
253290813,3296359783,9.112
253290813,3296359693,19.864
253290813,253314081,69.614
253290814,3296359693,36.403
253290814,3296357756,120.782
253290814,1035870924,39.101
253290826,419510712,99.27800000000002
253290826,419510712,77.36399999999999
253290826,983512429,250.925
253311582,293127627,373.643
253311582,293127760,149.71500000000003
253311582,1685959721,1236.9189999999999
253311593,1685959693,391.764
253311593,5189089760,41.193999999999996
253311593,5189089760,45.489000000000004
253311598,1685959326,440.701
253311598,253311601,246.111
253311598,5189089760,573.431
253311601,293128736,155.33900000000003
253311601,293128672,266.645
253311601,253311598,246.111
253311607,282848454,264.344
253311607,6720418135,243.40800000000002
253311607,945734868,18.279
253311688,2399530788,12.107
253311688,945734868,1651.9479999999999
253311890,5131119699,199.16899999999998
253311890,8178492233,46.281
253311890,474174230,48.885999999999996
253313409,253313950,77.05199999999999
253313409,1444685769,240.9
253313409,253314016,56.090999999999994
253313537,388064924,138.279
253313537,1041585733,103.35
253313718,4862273081,92.423
253313718,253331259,204.90099999999998
253313721,3296357756,156.435
253313721,253313409,303.506
253313721,253313722,102.054
253313722,1922000260,9.037
253313722,3296357668,10.233
253313950,253313409,77.05199999999999
253313951,253287703,43.971999999999994
253313951,9244626560,92.873
253314015,253313721,54.302
253314015,253314016,303.454
253314016,253314082,54.997
253314080,308234642,43.345
253314081,253314015,56.587
253314082,5228024477,574.6699999999998
253314082,308234638,146.276
253314196,253314295,57.549
253314295,253314196,57.54899999999999
253314295,253314080,51.599
253314295,253290814,103.477
253314296,356559053,36.457
253314296,289338722,139.96800000000002
253314400,420040344,170.27599999999998
